name,url,country,region,eu,keyboards,switches,keycaps,accessories,parts,note,discord
candykeys,https://candykeys.com/,de,europe,Yes,Yes,Yes,Yes,Yes,No,GB runners,
clarkkable,https://clarkkable.com/,uk,europe,No,No,No,No,Yes,No,Cables,
kbdfans,https://kbdfans.com/,cn,asia,No,Yes,Yes,Yes,Yes,Yes,"Biggest store, crestor or several kb and kits, GB runners",https://discord.gg/HMZKDhn
keyboardco,https://www.keyboardco.com/,uk,europe,No,Yes,No,No,No,No,Prebuilds,
keycapsss,https://keycapsss.com/,de,europe,Yes,Yes,Yes,Yes,Yes,Yes,Focus on parts and kits ,https://discord.gg/frjFXZB
keygem,https://keygem.store/,de,europe,Yes,Yes,Yes,Yes,Yes,Yes,,https://discord.com/invite/227swe4
maxgaming,https://www.maxgaming.se//,se,europe,Yes,Yes,Yes,Yes,No,No,Focus on gaming kbs,
mechboards,https://mechboards.co.uk/,uk,europe,No,Yes,Yes,Yes,Yes,Yes,,https://discord.gg/Sby7AKD
mechbox,https://mechbox.co.uk/,uk,europe,No,No,Yes,Yes,Yes,No,,
mechsupply,http://www.mechsupply.co.uk/,uk,europe,No,No,No,Yes,No,No,,http://www.mechsupply.co.uk/discord
mekanisk,https://mekanisk.com/,no,europe,No,Yes,Yes,No,Yes,Yes,,https://discord.com/invite/Wta8DER
mykeyboard,https://mykeyboard.eu/,be,europe,Yes,Yes,Yes,Yes,Yes,No,"GB runners, Very active discord",https://discord.mykeyboard.eu/
opticboards,https://www.opticboards.com/,uk,europe,No,No,Yes,No,Yes,Yes,,https://www.opticboards.com/discord/
pexonpcs,https://pexonpcs.co.uk/,uk,europe,No,No,No,No,Yes,No,Cables,https://discord.gg/ZRn8bDP
splitkb,https://splitkb.com/,nl,europe,Yes,Yes,Yes,No,Yes,Yes,"Focus on split kb, creator of kyria , great qmk guides",https://splitkb.com/discord
ukkeycaps,http://www.ukkeycaps.co.uk/,uk,europe,No,Yes,Yes,Yes,No,No,,
uniqey,https://uniqey.net/en//,de,europe,Yes,Yes,No,Yes,Yes,No,GMK storefront ,
caps-unlocked,https://caps-unlocked.com,uk,europe,No,Yes,No,No,Yes,No,,
oblotzky,https://oblotzky.industries/,de,europe,Yes,No,No,Yes,No,No,GBs and extras ,http://discord.oblotzky.industries/
kprepublic,https://kprepublic.com/,cn,asia,No,Yes,Yes,Yes,Yes,Yes,Has an aliexpress storefront as well,
qiwicables,https://www.qiwicables.com/,se,europe,Yes,No,No,No,Yes,No,Cables,
loob,https://loob.no/,no,europe,no,no,yes,no,yes,no,Focus on ,
korabrand,https://www.korabrand.xyz/,cz,europe,yes,no,yes,no,yes,Yes,,
keebwerk,https://www.keebwerk.com/,de,europe,yes,yes,yes,no,No,yes,,
zfrontier,https://en.zfrontier.com/,cn,asia,no,yes,no,yes,no,no,Asian vendor for many gmk gbs,
wasdkeyboards,https://www.wasdkeyboards.com/,us,us,no,yes,no,yes,yes,no,Focus on prebuilt,
thekeycompany,https://thekey.company/,us,us,no,yes,yes,yes,yes,no,,https://discord.com/invite/kWFEe5D
novelkeys,https://novelkeys.xyz/,us,us,no,yes,yes,yes,yes,no,,
mechanicalkeyboards,https://mechanicalkeyboards.com/,us,us,no,yes,yes,yes,yes,yes,,
keyhive,https://keyhive.xyz/,us,us,no,yes,no,no,yes,yes,Focus on kits and smaller kb.,
cbkbd,https://www.cbkbd.com/,us,us,no,yes,no,no,yes,yes,Focus on kits and smaller kb.,
zealpc,https://zealpc.net/,ca,us,no,no,yes,no,yes,no,,
gboards,https://www.gboards.ca/,ca,us,no,yes,yes,no,no,no,Focus on kits and smaller kb.,
drop,https://drop.com/,us,us,no,yes,yes,yes,yes,no,,
kebo,https://kebo.store/,us,us,no,no,yes,no,yes,yes,,https://discord.gg/3c67V3F
kono,https://kono.store/,us,us,no,yes,yes,yes,yes,no,,https://discord.gg/H8Jq6St
littlekeyboards,https://www.littlekeyboards.com/,us,us,no,yes,yes,no,no,yes,,
mkultra,https://mkultra.click/,us,us,no,no,yes,yes,yes,yes,Also selling foam,
olkb,https://olkb.com/,us,us,no,yes,no,yes,yes,yes,,
omnitype,https://omnitype.com/,us,us,no,no,no,yes,yes,no,Old Dixie,https://discord.gg/omnitype
originativeco,https://www.originativeco.com/,us,us,no,yes,yes,yes,yes,no,,
p3dstore,https://p3dstore.com/,us,us,no,no,no,no,yes,yes,3d printed cases,https://discord.gg/azXutQr
pimpmykeyboard,https://pimpmykeyboard.com/,us,us,no,no,no,yes,yes,no,Signature plastic storefront ,
flashquark,https://flashquark.com/,us,us,no,yes,yes,yes,yes,yes,,https://discord.gg/duQMxrS
infinitykey,https://infinitykey.zone/,us,us,no,yes,yes,no,yes,no,,https://discord.gg/kDwWFg6Faz
melgeek,https://www.melgeek.com/,cn,asia,no,yes,yes,yes,yes,yes,,https://discord.gg/FJSyCmk
cannonkeys,https://cannonkeys.com/,us,us,no,yes,yes,yes,yes,yes,,https://discord.gg/Jm3sN7N6SN
norbauer,https://shop.norbauer.com/,us,us,no,yes,no,yes,yes,no,,
keebio,https://keeb.io,us,us,no,yes,no ,no,no,yes,,
Glorious,https://www.pcgamingrace.com/,us,us,no,yes,yes,yes,yes,no,,https://www.pcgamingrace.com/discord
ohkeycaps,https://ohkeycaps.com/,us,us,no,yes,no,yes,no,yes,,
clueboard,https://clueboard.co/,us,us,no,yes,yes,yes,yes,yes,,https://discord.gg/WjMnqrx
1upkeyboards,https://1upkeyboards.com/,us,us,no,yes,yes,yes,yes,yes,,
